Designator,Footprint,Quantity,Value,LCSC Part #
"3V3GOOD1801, 5VGOOD1801",0805,2,LED Green,
AIR401,Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,1,~,
"BUZZ101, LEAK2, NTC1, NTC2, NTC3, NTC4, NTC5",Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,7,~,
"C1001, C1002",0603,2,1uF 16V,
"C1003, C1004, C1005, C1006, C1007, C1008, C2302",0603,7,100nC 16V,
C101,1206,1,10uF 1206 25V,
C102,CP_Radial_D6.3mm_P2.50mm,1,47uF 25V,
"C1103, C1906",0805,2,10uF 0805 25V,
"C1104, C1107, C1108, C1109, C1901, C1902, C1903, C1907, C2003, C2015, C916, C919, C928, C931",0603,14,100nF 0603 100V,
"C1105, C1106, C1904, C1905, C2005, C2007, C922, C923, C934, C935",0805,10,10uF 0805 50V,
"C1301, C1401, C1501, C1502, C1503",0603,5,100nF 0603 50V,
"C1601, C1701",0603,2,1nF 0603 16V,
C1801,CP_Radial_D8.0mm_P3.50mm,1,470uF 35V WE870025374007,
"C1802, C1803, C1805, C1806",0805,4,10uF 0805 35V,
C1804,CP_Radial_D8.0mm_P3.50mm,1,100uF 35V WE870025374007,
"C2002, C2006, C921, C926, C933, C938",0603,6,100nC 0603 50V,
"C2004, C918, C930",0603,3,100pC 0603 50V,
"C2008, C924, C936",0603,3,100nC 0603 16V,
"C201, C202, C203, C204, C206, C209, C210, C213, C214",0603,9,100nF 0603 6.3V,
"C2010, C920, C932",0805,3,1uC 0805 50V,
"C2012, C925, C937",0805,3,1uC 0805 16V,
"C2014, C927, C939",0603,3,1nC 0603 16V,
"C2016, C917, C929",0805,3,1uF 0805 50V,
C205,0603,1,6 * 100nF 0603 6.3V,
C207,0805,1,4.7uF 0805 6.3V,
"C208, C501, C502, C601, C602",0603,5,100nF 0603 16V,
C211,0603,1,12pF 0603 6.3V,
C212,0603,1,2 * 12pF 0603 6.3V,
C2301,0805,1,10uF 0805 16V,
"C301, C302, C303",1206,3,100nF 16V,
C304,1206,1,330nF 16V,
"C305, C306, C307, C308, C309, C310, C311, C312",1206,8,2.2nC 1000V,
"C313, C314, C315, C316",1206,4,220pC 1000V,
C401,0603,1,100nC 6V,
C901,0603,1,100n 0603 50V,
