Designator,Mid X,Mid Y,Rotation,Layer
3V3GOOD1801,120.0,-75.25,180.0,top
5VGOOD1801,137.5,-84.75,180.0,top
AIR401,17.5,-83.15,180.0,top
BUZZ101,41.5,-48.5425,180.0,top
C1001,36.395,-62.395,0.0,top
C1002,41.645,-59.145,0.0,top
C1003,28.625,-52.665,270.0,bottom
C1004,34.145,-56.645,0.0,top
C1005,18.87,-52.875,180.0,top
C1006,30.645,-52.645,270.0,top
C1007,11.12,-56.875,180.0,top
C1008,30.145,-55.395,180.0,top
C101,99.25,-78.25,270.0,top
C102,106.18238,-76.0,180.0,top
C1103,159.5,-66.25,180.0,top
C1104,127.095,-49.6375,0.0,top
C1105,127.095,-51.6375,180.0,top
C1106,127.345,-64.3525,90.0,top
C1107,166.99,-65.25,90.0,top
C1108,168.75,-65.25,90.0,top
C1109,170.49,-65.25,90.0,top
C1301,162.31,-87.03,270.0,top
C1401,159.8,-87.03,270.0,top
C1501,157.29,-87.03,270.0,top
C1502,154.78,-87.03,270.0,top
C1503,152.27,-87.03,270.0,top
C1601,187.47,-14.025,0.0,top
C1701,187.47,-16.535,0.0,top
C1801,105.25,-84.847349,270.0,top
C1802,101.5,-78.25,90.0,top
C1803,115.5,-78.25,0.0,bottom
C1804,114.0,-72.5,180.0,top
C1805,128.5,-81.75,90.0,bottom
C1806,128.5,-85.75,270.0,bottom
C1901,77.75,-55.75,90.0,bottom
C1902,79.25,-54.5,90.0,bottom
C1903,34.25,-30.25,0.0,bottom
C1904,34.25,-32.0,180.0,bottom
C1905,33.5,-45.5,90.0,bottom
C1906,74.75,-51.25,0.0,bottom
C1907,80.75,-54.5,90.0,bottom
C2002,18.9625,-23.75,0.0,bottom
C2003,13.2125,-33.5,180.0,bottom
C2004,19.9625,-28.75,90.0,bottom
C2005,13.2125,-31.75,0.0,bottom
C2006,21.9625,-47.25,270.0,bottom
C2007,16.4625,-46.75,270.0,bottom
C2008,18.7125,-45.75,270.0,bottom
C201,61.0,-62.75,0.0,bottom
C2010,18.9625,-25.5,0.0,bottom
C2012,14.2125,-42.5,90.0,bottom
C2014,20.2125,-49.0,270.0,bottom
C2015,13.2125,-23.5,180.0,bottom
C2016,13.2125,-25.25,0.0,bottom
C202,58.5,-78.25,0.0,bottom
C203,53.5,-66.75,90.0,bottom
C204,67.25,-60.5,0.0,top
